감정명,문장 예시
우울감,가끔은 우울감 없이 살고 싶다는 생각이 들어.
우울감,가끔은 없이 싶다는 살고 들어. 우울감 생각이
우울감,때때로 나는 우울증 없이 살고 싶다.
우울감,때때로 나는 우울증이없는 상황에서 살고 싶다.
우울감,때로는 우울증 없이 살고 싶어합니다.
우울감,"당신이 질투한다면, 당신은 질투합니다."
우울감,있다 밀려와. 멍하게 우울감이 보면 그냥
우울감,"당신이 단지 바보라면, 당신은 실망 할 것입니다."
우울감,"당신이 바보라면, 당신은 우울하다."
우울감,그냥 멍하게 있다 보면 우울감이 밀려와.
우울감,우울증은 끝났고 지금은 막을 수 없다.
우울감,우울감이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
우울감,질병이 쌓여 있고 지금은 무력하다고 생각합니다.
우울감,이제는 것 같아. 우울감이 쌓이고 쌓여서 무뎌진
우울감,우울증은 이제 사라진 것처럼 보입니다.
우울감,사람은 모르겠지만 진짜 병에 걸린다.
우울감,사람들이 모를 뿐이지 나 진짜 우울감해.
우울감,"그들은 모른다, 나는 정말로 실망했다."
우울감,"사람들은 모른다, 나는 정말로 우울하다."
우울감,나 사람들이 모를 뿐이지 우울감해. 진짜
우울감,진정한 우울증이 나를 놀라게 한다.
우울감,진심으로 우울감이 나를 갉아먹는 느낌이야.
우울감,진짜 병이 나를 흔들고 있는 것 같아요.
우울감,진심으로 갉아먹는 느낌이야. 우울감이 나를
우울감,나는 정말로 우울하다고 느낀다.
우울감,왜 그렇게 우울한지 모르겠다.
우울감,"왜 그렇게 실망했는지, 나는 모른다."
우울감,"우울감하지, 왜 이렇게 모르겠어. 나도"
우울감,"왜 이렇게 우울감하지, 나도 모르겠어."
우울감,왜 이렇게 병에 걸렸는지 모르겠다.
우울감,진정한 질병으로 인해 아무것도 얻을 수 없습니다.
우울감,요즘 진짜 손에 아무것도 잡혀. 우울감 안 때문에
우울감,요즘 진짜 우울감 때문에 아무것도 손에 안 잡혀.
우울감,"오늘, 진정한 우울증으로 인해 나는 아무것도 얻지 못했습니다."
우울감,오늘날 진정한 우울증 때문에 아무것도 손에 들지 않습니다.
우울감,자고 일어나도 우울감은 그대로야.
우울감,잠을 자고 일어나고 우울증이 있습니다.
우울감,자고 일어나도 그대로야. 우울감은
우울감,잠을 자고 깨어나는 것은 우울하다.
우울감,일어나서 잠을 자면 병에 걸린다.
우울감,"말할 필요가 없습니다, 나는 울고, 아마도 우울증 때문에."
우울감,"거야. 말없이 우울감 눈물만 나, 아마 때문일"
우울감,"어쩌면 그것은 나의 눈물 때문에, 그리고 그것은 나의 우울증 때문에."
우울감,"말없이 눈물만 나, 아마 우울감 때문일 거야."
우울감,눈물을 흘리는 것은 아마도 우울증의 원인일 것이다.
우울감,솔직히 말하자면 지금은 우울하다.
우울감,"솔직히 말하자면, 저는 지금 당뇨병으로 고통 받고 있습니다."
우울감,"진실로 말하자면, 나는 지금 매우 실망하고 있습니다."
우울감,힘들어. 지금 우울감 때문에 나 솔직히 말해서
우울감,솔직히 말해서 나 지금 우울감 때문에 힘들어.
우울감,당신의 마음은 복잡하고 복잡합니다.
우울감,마음은 복잡하고 혼란스럽다.
우울감,마음은 복잡하고 어리석은 것입니다.
우울감,마음이 복잡하고 어지러워.
우울감,그냥 이유 없이 지치고 힘들었어.
우울감,지치고 없이 힘들었어. 이유 그냥
우울감,이유 없이 피곤하고 힘들었다.
우울감,어렵고 피곤한 이유가 없었다.
우울감,되고 안 멍했어. 집중이 일상에
우울감,집중하지 않고 어리석은
우울감,일상에 집중이 안 되고 멍했어.
우울감,집중하지 않는 것은 어리석은 일이다.
우울감,집중하지 말고 어리석다.
우울감,말을 할 때 마음이 텅 비어있다.
우울감,대화에도 마음이 텅 비어 있었다.
우울감,마음이 해도 대화를 공허했어.
우울감,대화를 해도 마음이 공허했어.
우울감,"내가 말했을 때, 내 마음은 텅 비어 있었다."
우울감,"괜찮아, 나는 침몰했다고 느꼈다."
우울감,"그것은 일어나지 않지만, 나는 여전히 죽고있다."
우울감,기분이 자꾸 별일 가라앉는 들어. 없는데
우울감,별일 없는데 자꾸 가라앉는 기분이 들어.
우울감,아무것도 없지만 끊임없이 익사하는 것처럼 느껴집니다.
우울감,혼자 있으면 쓸쓸함이 밀려와.
우울감,"혼자있을 때, 불행을 제거하십시오."
우울감,혼자 있으면 쓸모가 없을 것이다.
우울감,있으면 쓸쓸함이 혼자 밀려와.
우울감,"만약 당신이 혼자 있다면, 문제를 풀어주십시오."
우울감,그것은 눈물의 날과 같았다.
