감정명,문장 예시
우울감,가끔은 우울감 없이 살고 싶다는 생각이 들어.
우울감,그냥 멍하게 있다 보면 우울감이 밀려와.
우울감,우울감이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
우울감,사람들이 모를 뿐이지 나 진짜 우울감해.
우울감,진심으로 우울감이 나를 갉아먹는 느낌이야.
우울감,"왜 이렇게 우울감하지, 나도 모르겠어."
우울감,요즘 진짜 우울감 때문에 아무것도 손에 안 잡혀.
우울감,자고 일어나도 우울감은 그대로야.
우울감,"말없이 눈물만 나, 아마 우울감 때문일 거야."
우울감,솔직히 말해서 나 지금 우울감 때문에 힘들어.
우울감,마음이 복잡하고 어지러워.
우울감,그냥 이유 없이 지치고 힘들었어.
우울감,일상에 집중이 안 되고 멍했어.
우울감,대화를 해도 마음이 공허했어.
우울감,별일 없는데 자꾸 가라앉는 기분이 들어.
우울감,혼자 있으면 쓸쓸함이 밀려와.
우울감,괜히 눈물이 날 것 같은 하루였어.
우울감,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
우울감,하루 종일 기운이 없었어.
우울감,누가 뭐라고 한 것도 아닌데 속이 답답했어.
우울감,핸드폰만 들여다보면서 시간을 보냈어.
우울감,누워서 천장만 바라보며 시간을 보냈어.
우울감,하루 종일 방 안에서 조용히 있었어.
우울감,하루 종일 창밖만 멍하니 바라봤어.
우울감,오늘 아무것도 하지 않고 침대에만 누워 있었어.
우울감,거울 속 내 모습이 낯설게 느껴졌어.
우울감,친구한테 답장할 힘도 없었어.
우울감,집안일 하나도 못 하고 시간을 흘려보냈어.
우울감,샤워할 기운조차 없었어.
우울감,밥도 거르고 그냥 멍하니 있었어.
불안,그냥 멍하게 있다 보면 불안이 밀려와.
불안,사람들이 모를 뿐이지 나 진짜 불안해.
불안,요즘 진짜 불안 때문에 아무것도 손에 안 잡혀.
불안,말은 못 했지만 속으로는 계속 불안하고 있었어.
불안,진심으로 불안이 나를 갉아먹는 느낌이야.
불안,계속 불안이 느껴져서 하루 종일 우울했어.
불안,이런 불안이 계속되면 무너질 것 같아.
불안,괜찮다고 말하면서도 계속 불안이 따라다녀.
불안,불안이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
불안,불안 때문에 웃는 게 어색해졌어.
불안,마음이 복잡하고 어지러워.
불안,누가 뭐라고 한 것도 아닌데 속이 답답했어.
불안,별일 없는데 자꾸 가라앉는 기분이 들어.
불안,혼자 있으면 쓸쓸함이 밀려와.
불안,대화를 해도 마음이 공허했어.
불안,그냥 이유 없이 지치고 힘들었어.
불안,하루 종일 기운이 없었어.
불안,일상에 집중이 안 되고 멍했어.
불안,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
불안,괜히 눈물이 날 것 같은 하루였어.
불안,하루 종일 창밖만 멍하니 바라봤어.
불안,거울 속 내 모습이 낯설게 느껴졌어.
불안,친구한테 답장할 힘도 없었어.
불안,집안일 하나도 못 하고 시간을 흘려보냈어.
불안,샤워할 기운조차 없었어.
불안,오늘 아무것도 하지 않고 침대에만 누워 있었어.
불안,핸드폰만 들여다보면서 시간을 보냈어.
불안,밥도 거르고 그냥 멍하니 있었어.
불안,하루 종일 방 안에서 조용히 있었어.
불안,누워서 천장만 바라보며 시간을 보냈어.
스트레스,스트레스이 내 일상 전부를 잠식하고 있어.
스트레스,자고 일어나도 스트레스은 그대로야.
스트레스,이런 스트레스이 계속되면 무너질 것 같아.
스트레스,스트레스이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
스트레스,솔직히 말해서 나 지금 스트레스 때문에 힘들어.
스트레스,자꾸 스트레스에 잠식당하는 기분이야.
스트레스,스트레스이 너무 심해서 일도 못 하겠어.
스트레스,나 요즘 스트레스이 너무 심해서 병원 가볼까 고민 중이야.
스트레스,스트레스이 너무 심해서 사람 만나기도 싫어.
스트레스,가끔은 스트레스 없이 살고 싶다는 생각이 들어.
스트레스,괜히 눈물이 날 것 같은 하루였어.
스트레스,마음이 복잡하고 어지러워.
스트레스,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
스트레스,하루 종일 기운이 없었어.
스트레스,누가 뭐라고 한 것도 아닌데 속이 답답했어.
스트레스,그냥 이유 없이 지치고 힘들었어.
스트레스,일상에 집중이 안 되고 멍했어.
스트레스,별일 없는데 자꾸 가라앉는 기분이 들어.
스트레스,혼자 있으면 쓸쓸함이 밀려와.
스트레스,대화를 해도 마음이 공허했어.
스트레스,친구한테 답장할 힘도 없었어.
스트레스,핸드폰만 들여다보면서 시간을 보냈어.
스트레스,오늘 아무것도 하지 않고 침대에만 누워 있었어.
스트레스,집안일 하나도 못 하고 시간을 흘려보냈어.
스트레스,샤워할 기운조차 없었어.
스트레스,밥도 거르고 그냥 멍하니 있었어.
스트레스,거울 속 내 모습이 낯설게 느껴졌어.
스트레스,누워서 천장만 바라보며 시간을 보냈어.
스트레스,하루 종일 창밖만 멍하니 바라봤어.
스트레스,하루 종일 방 안에서 조용히 있었어.
외로움,자꾸 외로움에 잠식당하는 기분이야.
외로움,진심으로 외로움이 나를 갉아먹는 느낌이야.
외로움,외로움이 괴로워서 아무 말도 하기 싫어.
외로움,가끔은 외로움 없이 살고 싶다는 생각이 들어.
외로움,하루 종일 외로움 생각뿐이었어.
외로움,외로움이 내 일상 전부를 잠식하고 있어.
외로움,"왜 이렇게 외로움하지, 나도 모르겠어."
외로움,외로움 때문에 밥맛도 없고 잠도 안 와.
외로움,나 요즘 외로움이 너무 심해서 병원 가볼까 고민 중이야.
외로움,자고 일어나도 외로움은 그대로야.
외로움,괜히 눈물이 날 것 같은 하루였어.
외로움,누가 뭐라고 한 것도 아닌데 속이 답답했어.
외로움,그냥 이유 없이 지치고 힘들었어.
외로움,하루 종일 기운이 없었어.
외로움,별일 없는데 자꾸 가라앉는 기분이 들어.
외로움,마음이 복잡하고 어지러워.
외로움,혼자 있으면 쓸쓸함이 밀려와.
외로움,일상에 집중이 안 되고 멍했어.
외로움,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
외로움,대화를 해도 마음이 공허했어.
외로움,거울 속 내 모습이 낯설게 느껴졌어.
외로움,샤워할 기운조차 없었어.
외로움,오늘 아무것도 하지 않고 침대에만 누워 있었어.
외로움,하루 종일 방 안에서 조용히 있었어.
외로움,누워서 천장만 바라보며 시간을 보냈어.
외로움,친구한테 답장할 힘도 없었어.
외로움,핸드폰만 들여다보면서 시간을 보냈어.
외로움,밥도 거르고 그냥 멍하니 있었어.
외로움,집안일 하나도 못 하고 시간을 흘려보냈어.
외로움,하루 종일 창밖만 멍하니 바라봤어.
무기력,무기력을(를) 이겨내고 싶은데 쉽지가 않아.
무기력,계속 무기력이 느껴져서 하루 종일 우울했어.
무기력,무기력이라는 감정을 어떻게 표현해야 할지 모르겠어.
무기력,무기력이 너무 심해서 사람 만나기도 싫어.
무기력,하루 종일 무기력 생각뿐이었어.
무기력,괜찮다고 말하면서도 계속 무기력이 따라다녀.
무기력,"왜 이렇게 무기력하지, 나도 모르겠어."
무기력,이런 무기력이 계속되면 무너질 것 같아.
무기력,지금 이 상태가 무기력인 건가 싶어.
무기력,나 요즘 무기력이 너무 심해서 병원 가볼까 고민 중이야.
무기력,별일 없는데 자꾸 가라앉는 기분이 들어.
무기력,하루 종일 기운이 없었어.
무기력,대화를 해도 마음이 공허했어.
무기력,마음이 복잡하고 어지러워.
무기력,일상에 집중이 안 되고 멍했어.
무기력,괜히 눈물이 날 것 같은 하루였어.
무기력,혼자 있으면 쓸쓸함이 밀려와.
무기력,그냥 이유 없이 지치고 힘들었어.
무기력,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
무기력,누가 뭐라고 한 것도 아닌데 속이 답답했어.
무기력,거울 속 내 모습이 낯설게 느껴졌어.
무기력,하루 종일 방 안에서 조용히 있었어.
무기력,하루 종일 창밖만 멍하니 바라봤어.
무기력,집안일 하나도 못 하고 시간을 흘려보냈어.
무기력,밥도 거르고 그냥 멍하니 있었어.
무기력,핸드폰만 들여다보면서 시간을 보냈어.
무기력,오늘 아무것도 하지 않고 침대에만 누워 있었어.
무기력,친구한테 답장할 힘도 없었어.
무기력,샤워할 기운조차 없었어.
무기력,누워서 천장만 바라보며 시간을 보냈어.
분노,요즘 진짜 분노 때문에 아무것도 손에 안 잡혀.
분노,진심으로 분노이 나를 갉아먹는 느낌이야.
분노,분노이 괴로워서 아무 말도 하기 싫어.
분노,자꾸 분노에 잠식당하는 기분이야.
분노,"말없이 눈물만 나, 아마 분노 때문일 거야."
분노,"왜 이렇게 분노하지, 나도 모르겠어."
분노,분노이라는 감정을 이렇게 오래 느낀 건 처음이야.
분노,솔직히 말해서 나 지금 분노 때문에 힘들어.
분노,괜찮다고 말하면서도 계속 분노이 따라다녀.
분노,분노 때문에 밥맛도 없고 잠도 안 와.
분노,그냥 이유 없이 지치고 힘들었어.
분노,하루 종일 기운이 없었어.
분노,별일 없는데 자꾸 가라앉는 기분이 들어.
분노,대화를 해도 마음이 공허했어.
분노,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
분노,마음이 복잡하고 어지러워.
분노,누가 뭐라고 한 것도 아닌데 속이 답답했어.
분노,일상에 집중이 안 되고 멍했어.
분노,괜히 눈물이 날 것 같은 하루였어.
분노,혼자 있으면 쓸쓸함이 밀려와.
분노,집안일 하나도 못 하고 시간을 흘려보냈어.
분노,핸드폰만 들여다보면서 시간을 보냈어.
분노,오늘 아무것도 하지 않고 침대에만 누워 있었어.
분노,하루 종일 창밖만 멍하니 바라봤어.
분노,누워서 천장만 바라보며 시간을 보냈어.
분노,샤워할 기운조차 없었어.
