감정명,문장 예시
우울감,때때로 나는 우울증 없이 살고 싶다.
우울감,가끔은 우울감 없이 살고 싶다는 생각이 들어.
우울감,들어. 살고 가끔은 생각이 우울감 없이 싶다는
우울감,"당신이 바보라면, 당신은 우울하다."
우울감,그냥 멍하게 있다 보면 우울감이 밀려와.
우울감,있다 우울감이 보면 그냥 밀려와. 멍하게
우울감,우울증은 끝났고 지금은 막을 수 없다.
우울감,우울감이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
우울감,이제는 것 무뎌진 쌓여서 같아. 쌓이고 우울감이
우울감,"사람들은 모른다, 나는 정말로 우울하다."
우울감,사람들이 모를 뿐이지 나 진짜 우울감해.
우울감,뿐이지 모를 우울감해. 진짜 나 사람들이
우울감,나는 정말로 우울하다고 느낀다.
우울감,진심으로 우울감이 나를 갉아먹는 느낌이야.
우울감,갉아먹는 느낌이야. 진심으로 나를 우울감이
우울감,왜 그렇게 우울한지 모르겠다.
우울감,"왜 이렇게 우울감하지, 나도 모르겠어."
우울감,"이렇게 나도 모르겠어. 우울감하지, 왜"
우울감,오늘날 진정한 우울증 때문에 아무것도 손에 들지 않습니다.
우울감,요즘 진짜 우울감 때문에 아무것도 손에 안 잡혀.
우울감,때문에 요즘 우울감 아무것도 잡혀. 손에 진짜 안
우울감,잠을 자고 깨어나는 것은 우울하다.
우울감,자고 일어나도 우울감은 그대로야.
우울감,자고 우울감은 그대로야. 일어나도
우울감,"어쩌면 그것은 나의 눈물 때문에, 그리고 그것은 나의 우울증 때문에."
우울감,"말없이 눈물만 나, 아마 우울감 때문일 거야."
우울감,"거야. 아마 나, 우울감 말없이 눈물만 때문일"
우울감,솔직히 말하자면 지금은 우울하다.
우울감,솔직히 말해서 나 지금 우울감 때문에 힘들어.
우울감,우울감 지금 솔직히 힘들어. 말해서 나 때문에
우울감,당신의 마음은 복잡하고 복잡합니다.
우울감,마음이 복잡하고 어지러워.
우울감,마음이 어지러워. 복잡하고
우울감,어렵고 피곤한 이유가 없었다.
우울감,그냥 이유 없이 지치고 힘들었어.
우울감,이유 지치고 없이 힘들었어. 그냥
우울감,집중하지 않고 어리석은
우울감,일상에 집중이 안 되고 멍했어.
우울감,멍했어. 안 일상에 집중이 되고
우울감,"내가 말했을 때, 내 마음은 텅 비어 있었다."
우울감,대화를 해도 마음이 공허했어.
우울감,공허했어. 대화를 해도 마음이
우울감,"그것은 일어나지 않지만, 나는 여전히 죽고있다."
우울감,별일 없는데 자꾸 가라앉는 기분이 들어.
우울감,들어. 별일 가라앉는 없는데 기분이 자꾸
우울감,"혼자있을 때, 불행을 제거하십시오."
우울감,혼자 있으면 쓸쓸함이 밀려와.
우울감,있으면 쓸쓸함이 혼자 밀려와.
우울감,그것은 눈물의 날과 같았다.
우울감,괜히 눈물이 날 것 같은 하루였어.
우울감,괜히 것 눈물이 하루였어. 같은 날
우울감,왜 그런지 모르겠지만 힘들다.
우울감,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
우울감,"힘들어. 내가 그냥 왜 모르겠어, 이러는지"
우울감,하루 종일 기분이 좋지 않았다.
우울감,하루 종일 기운이 없었어.
우울감,없었어. 종일 기운이 하루
우울감,아무도 아무 말도 하지 않았지만 나는 바보였다.
우울감,누가 뭐라고 한 것도 아닌데 속이 답답했어.
우울감,속이 아닌데 뭐라고 한 누가 답답했어. 것도
우울감,나는 휴대폰을 보면서 시간을 보냈다.
우울감,핸드폰만 들여다보면서 시간을 보냈어.
우울감,들여다보면서 핸드폰만 시간을 보냈어.
우울감,나는 앉아서 지붕을 바라보는 시간을 보냈다.
우울감,누워서 천장만 바라보며 시간을 보냈어.
우울감,바라보며 보냈어. 천장만 누워서 시간을
우울감,나는 하루 종일 방에서 조용했다.
우울감,하루 종일 방 안에서 조용히 있었어.
우울감,방 안에서 하루 있었어. 종일 조용히
우울감,나는 하루 종일 창문 밖을 바라보았다.
우울감,하루 종일 창밖만 멍하니 바라봤어.
우울감,종일 바라봤어. 멍하니 창밖만 하루
우울감,오늘은 아무것도 하지 않고 침대에 누워있었습니다.
우울감,오늘 아무것도 하지 않고 침대에만 누워 있었어.
우울감,않고 누워 오늘 하지 있었어. 침대에만 아무것도
우울감,거울 속에서 이상하게 느껴졌다.
우울감,거울 속 내 모습이 낯설게 느껴졌어.
우울감,거울 낯설게 느껴졌어. 속 내 모습이
우울감,나는 내 친구에게 대답할 수 없었다.
우울감,친구한테 답장할 힘도 없었어.
우울감,답장할 없었어. 친구한테 힘도
우울감,나는 집안일을 하지 않았고 시간을 보냈다.
우울감,집안일 하나도 못 하고 시간을 흘려보냈어.
우울감,흘려보냈어. 집안일 못 하나도 시간을 하고
우울감,나는 심지어 샤워를 하지 않았다.
우울감,샤워할 기운조차 없었어.
우울감,없었어. 기운조차 샤워할
우울감,나는 바보였고 그냥 바보였다.
우울감,밥도 거르고 그냥 멍하니 있었어.
우울감,있었어. 그냥 거르고 밥도 멍하니
불안,"당신이 어리석은 경우에, 불안을 얻으십시오."
불안,그냥 멍하게 있다 보면 불안이 밀려와.
불안,보면 불안이 있다 그냥 밀려와. 멍하게
불안,"사람들은 모른다, 나는 정말 걱정."
불안,사람들이 모를 뿐이지 나 진짜 불안해.
불안,나 불안해. 진짜 모를 사람들이 뿐이지
불안,"오늘날, 불안 때문에 손에 아무것도 잡혀 있지 않습니다."
불안,요즘 진짜 불안 때문에 아무것도 손에 안 잡혀.
불안,때문에 잡혀. 아무것도 진짜 손에 안 요즘 불안
불안,"나는 말하지 않았다, 그러나 나는 여전히 걱정했다."
불안,말은 못 했지만 속으로는 계속 불안하고 있었어.
불안,했지만 있었어. 불안하고 계속 속으로는 말은 못
불안,나는 정말로 나를 먹는 것에 대해 걱정한다.
불안,진심으로 불안이 나를 갉아먹는 느낌이야.
불안,진심으로 느낌이야. 불안이 갉아먹는 나를
불안,나는 하루 종일 불안하고 우울했다.
불안,계속 불안이 느껴져서 하루 종일 우울했어.
불안,계속 종일 하루 우울했어. 느껴져서 불안이
불안,"이 불안이 계속된다면, 그것은 떨어질 것입니다."
불안,이런 불안이 계속되면 무너질 것 같아.
불안,이런 무너질 것 불안이 같아. 계속되면
불안,그는 괜찮다고 말하고 계속 걱정한다.
불안,괜찮다고 말하면서도 계속 불안이 따라다녀.
불안,따라다녀. 괜찮다고 말하면서도 불안이 계속
불안,"걱정은 끝났고, 지금은 불가능한 것처럼 보입니다."
불안,불안이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
불안,불안이 이제는 같아. 쌓여서 것 쌓이고 무뎌진
불안,불안 때문에 웃는 것이 이상했습니다.
불안,불안 때문에 웃는 게 어색해졌어.
불안,불안 어색해졌어. 게 때문에 웃는
불안,당신의 마음은 복잡하고 복잡합니다.
불안,마음이 복잡하고 어지러워.
불안,어지러워. 마음이 복잡하고
불안,아무도 아무 말도 하지 않았지만 나는 바보였다.
불안,누가 뭐라고 한 것도 아닌데 속이 답답했어.
불안,아닌데 뭐라고 속이 한 답답했어. 것도 누가
불안,"그것은 일어나지 않지만, 나는 여전히 죽고있다."
불안,별일 없는데 자꾸 가라앉는 기분이 들어.
불안,별일 없는데 가라앉는 기분이 들어. 자꾸
불안,"혼자있을 때, 불행을 제거하십시오."
불안,혼자 있으면 쓸쓸함이 밀려와.
불안,밀려와. 혼자 쓸쓸함이 있으면
불안,"내가 말했을 때, 내 마음은 텅 비어 있었다."
불안,대화를 해도 마음이 공허했어.
불안,마음이 대화를 해도 공허했어.
불안,어렵고 피곤한 이유가 없었다.
불안,그냥 이유 없이 지치고 힘들었어.
불안,이유 없이 지치고 힘들었어. 그냥
불안,하루 종일 기분이 좋지 않았다.
불안,하루 종일 기운이 없었어.
불안,없었어. 기운이 하루 종일
불안,집중하지 않고 어리석은
불안,일상에 집중이 안 되고 멍했어.
불안,안 되고 집중이 멍했어. 일상에
불안,왜 그런지 모르겠지만 힘들다.
불안,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
불안,"왜 힘들어. 그냥 이러는지 내가 모르겠어,"
불안,그것은 눈물의 날과 같았다.
불안,괜히 눈물이 날 것 같은 하루였어.
불안,것 같은 날 괜히 눈물이 하루였어.
불안,나는 하루 종일 창문 밖을 바라보았다.
불안,하루 종일 창밖만 멍하니 바라봤어.
불안,종일 창밖만 멍하니 하루 바라봤어.
불안,거울 속에서 이상하게 느껴졌다.
불안,거울 속 내 모습이 낯설게 느껴졌어.
불안,속 낯설게 거울 내 느껴졌어. 모습이
